Robustness Type, Dataset, Num Data, Distance, Time, Input ID, Num Iterations, Epsilon, Degree, Brightness
Lp,mnist,14,l2,104.7788918018341,"[343, 227, 105, 721, 776, 545, 881, 297, 573, 613, 1033, 552, 517, 871]",27,0.03,-,-
Lp,mnist,3,l2,6.3329176902771,"[1090, 747, 108]",5,0.03,-,-
Lp,mnist,6,l2,64.19747018814087,"[476, 119, 402, 786, 110, 1027]",11,0.03,-,-
Lp,mnist,3,l2,13.5436532497406,"[113, 490, 611]",5,0.03,-,-
Lp,mnist,4,l2,18.630251169204712,"[242, 489, 534, 120]",7,0.03,-,-
Lp,mnist,6,l2,64.97557616233826,"[1110, 396, 947, 948, 511, 121]",11,0.03,-,-
Lp,mnist,7,l2,23.537428855895996,"[901, 414, 853, 123, 946, 355, 809]",13,0.03,-,-
Lp,mnist,9,l2,20.129225492477417,"[594, 779, 983, 124, 185, 288, 467, 144, 216]",17,0.03,-,-
Lp,mnist,3,l2,3.743687152862549,"[375, 133, 417]",5,0.03,-,-
Lp,mnist,8,l2,47.38870429992676,"[873, 827, 134, 313, 982, 360, 987, 654]",15,0.03,-,-
Lp,mnist,5,l2,47.2197802066803,"[139, 958, 187, 180, 205]",9,0.03,-,-
Lp,mnist,3,l2,1.788332462310791,"[296, 472, 141]",5,0.03,-,-
Lp,mnist,9,l2,72.35010814666748,"[150, 290, 1038, 702, 451, 1068, 531, 521, 875]",17,0.03,-,-
Lp,mnist,12,l2,176.05718517303467,"[979, 513, 557, 891, 405, 840, 164, 667, 770, 744, 419, 323]",19,0.03,-,-
Lp,mnist,9,l2,45.8761830329895,"[603, 374, 680, 168, 860, 970, 211, 225, 772]",17,0.03,-,-
Lp,mnist,3,l2,7.259955406188965,"[253, 177, 169]",5,0.03,-,-
Lp,mnist,4,l2,9.367455959320068,"[666, 171, 864, 984]",7,0.03,-,-
Lp,mnist,8,l2,46.64552664756775,"[986, 217, 794, 909, 172, 364, 561, 384]",15,0.03,-,-
Lp,mnist,4,l2,27.16185975074768,"[765, 176, 300, 699]",7,0.03,-,-
Lp,mnist,3,l2,7.876994371414185,"[178, 682, 978]",5,0.03,-,-
Lp,mnist,3,l2,20.34913182258606,"[197, 646, 352]",5,0.03,-,-
Lp,mnist,3,l2,1.095895767211914,"[905, 566, 204]",5,0.03,-,-
Lp,mnist,10,l2,23.350194215774536,"[291, 244, 503, 427, 218, 1085, 380, 321, 430, 892]",19,0.03,-,-
Lp,mnist,3,l2,58.48814272880554,"[326, 356, 229]",5,0.03,-,-
Lp,mnist,6,l2,65.46607851982117,"[908, 658, 993, 782, 1117, 232]",11,0.03,-,-
Lp,mnist,5,l2,117.42340016365051,"[1096, 985, 575, 1070, 234]",9,0.03,-,-
Lp,mnist,5,l2,28.793564796447754,"[408, 988, 239, 619, 317]",9,0.03,-,-
Lp,mnist,5,l2,30.18312120437622,"[1126, 894, 306, 539, 252]",9,0.03,-,-
Lp,mnist,4,l2,17.047526359558105,"[261, 900, 564, 910]",7,0.03,-,-
Lp,mnist,6,l2,33.12361145019531,"[614, 262, 302, 865, 1081, 816]",11,0.03,-,-
Lp,mnist,9,l2,43.15554928779602,"[444, 348, 264, 1023, 318, 696, 320, 314, 839]",17,0.03,-,-
Lp,mnist,9,l2,98.37402725219727,"[959, 714, 850, 445, 267, 805, 373, 283, 385]",17,0.03,-,-
Lp,mnist,3,l2,1.040714979171753,"[316, 271, 577]",5,0.03,-,-
Lp,mnist,4,l2,3.863220453262329,"[1074, 483, 273, 874]",7,0.03,-,-
Lp,mnist,5,l2,47.39366173744202,"[278, 379, 888, 814, 1111]",7,0.03,-,-
Lp,mnist,7,l2,415.4016959667206,"[672, 800, 282, 963, 887, 474, 1091]",11,0.03,-,-
Lp,mnist,6,l2,37.6930890083313,"[1053, 548, 570, 327, 292, 391]",11,0.03,-,-
Lp,mnist,10,l2,59.28630185127258,"[294, 367, 310, 368, 867, 1061, 713, 558, 818, 309]",19,0.03,-,-
Lp,mnist,3,l2,25.720559120178223,"[668, 299, 896]",5,0.03,-,-
Lp,mnist,5,l2,11.706955671310425,"[914, 817, 322, 742, 441]",9,0.03,-,-
Lp,mnist,6,l2,12.393762588500977,"[695, 630, 339, 932, 996, 1036]",11,0.03,-,-
Lp,mnist,7,l2,27.613253116607666,"[919, 655, 748, 475, 349, 546, 662]",13,0.03,-,-
Lp,mnist,3,l2,25.413768768310547,"[810, 863, 353]",5,0.03,-,-
Lp,mnist,3,l2,27.078235626220703,"[925, 424, 354]",5,0.03,-,-
Lp,mnist,3,l2,9.934958219528198,"[618, 500, 357]",5,0.03,-,-
Lp,mnist,3,l2,2.4787890911102295,"[787, 886, 404]",5,0.03,-,-
Lp,mnist,3,l2,4.039559364318848,"[629, 778, 409]",5,0.03,-,-
Lp,mnist,7,l2,41.93422245979309,"[753, 710, 937, 416, 752, 494, 862]",13,0.03,-,-
Lp,mnist,4,l2,27.60904550552368,"[422, 591, 580, 600]",7,0.03,-,-
Lp,mnist,4,l2,23.48640275001526,"[1084, 442, 596, 1107]",7,0.03,-,-
Lp,mnist,4,l2,9.422721147537231,"[496, 822, 670, 450]",7,0.03,-,-
Lp,mnist,3,l2,1.0992088317871094,"[560, 1043, 463]",5,0.03,-,-
Lp,mnist,4,l2,18.55417776107788,"[485, 698, 688, 851]",7,0.03,-,-
Lp,mnist,3,l2,23.803330421447754,"[1073, 571, 486]",5,0.03,-,-
Lp,mnist,3,l2,22.4808566570282,"[1017, 845, 487]",5,0.03,-,-
Lp,mnist,3,l2,6.527163505554199,"[832, 595, 1115]",5,0.03,-,-
Lp,mnist,3,l2,10.096106052398682,"[1099, 926, 601]",5,0.03,-,-
Lp,mnist,4,l2,22.2303307056427,"[673, 789, 602, 647]",5,0.03,-,-
Lp,mnist,4,l2,23.36575984954834,"[726, 1050, 653, 764]",7,0.03,-,-
Lp,mnist,3,l2,7.11130428314209,"[743, 902, 972]",5,0.03,-,-
